Depth	Speed	Tip	Friction	Pressure	SBT
2.68	2.24	0.39657	0.2442	-0.08944	
2.7	2	0.39704	0.24526	-0.0892	
2.72	2.29	0.39774	0.24692	-0.08883	
2.74	2	0.39725	0.24874	-0.08864	
2.76	2.29	0.39742	0.2493	-0.08834	
2.78	2	0.39727	0.24957	-0.08834	
2.8	2	0.39635	0.25265	-0.08825	
2.82	2.29	0.39562	0.25214	-0.08799	
2.84	2	0.39529	0.2494	-0.08765	
2.86	2.29	0.39581	0.24999	-0.08753	
2.88	0.12	0.3977	0.24416	-0.08733	
2.9	2.29	0.39915	0.24907	-0.08713	
2.92	2	0.39993	0.25305	-0.0868	
2.94	2.29	0.39963	0.2567	-0.08653	
2.96	2	0.40003	0.26162	-0.08616	
2.98	2	0.40172	0.26455	-0.08392	
3	2.29	0.40173	0.26632	-0.08404	
3.02	2	0.40272	0.26727	-0.08393	
3.04	2	0.40265	0.26789	-0.084	
3.06	2.29	0.40139	0.26653	-0.08398	
3.08	2	0.39886	0.26363	-0.08383	
3.1	2.29	0.39706	0.25976	-0.08399	
3.12	2	0.39581	0.2559	-0.08389	
3.14	2	0.39548	0.25269	-0.08381	
3.16	2.29	0.39618	0.25303	-0.08369	
3.18	2	0.39747	0.25632	-0.0833	
3.2	2	0.39966	0.25959	-0.08293	
3.22	2.29	0.40167	0.26261	-0.08238	
3.24	2	0.40301	0.26834	-0.08203	
3.26	2.29	0.40349	0.27101	-0.082	
3.28	2	0.40233	0.2688	-0.08174	
3.3	2.29	0.39991	0.26499	-0.08159	
3.32	2	0.39857	0.26144	-0.0817	
3.34	2	0.39767	0.26313	-0.08159	
3.36	2.29	0.39711	0.26452	-0.08128	
3.38	2	0.39631	0.26717	-0.08132	
3.4	2.29	0.39496	0.263	-0.08137	
3.42	2	0.39557	0.25209	-0.08164	
3.44	2	0.39861	0.23856	-0.08134	
3.46	2.29	0.40133	0.22852	-0.08126	
3.48	2	0.39999	0.21961	-0.08151	
3.5	2.29	0.39401	0.21703	-0.08155	
3.52	2	0.38847	0.21648	-0.08117	
3.54	2.29	0.38539	0.21679	-0.08016	
3.56	2	0.38487	0.21794	-0.07857	
3.58	2	0.386	0.22247	-0.07665	
3.6	2	0.38629	0.22711	-0.07533	
3.62	2.29	0.38563	0.23238	-0.07427	
3.64	2	0.38548	0.23618	-0.07372	
3.66	2.29	0.38737	0.23809	-0.07346	
3.68	2	0.38921	0.23984	-0.07362	
3.7	2.29	0.38957	0.24063	-0.07354	
3.72	2	0.38969	0.24166	-0.07352	
3.74	1.97	0.38965	0.24147	-0.07342	
3.76	2.29	0.38983	0.23987	-0.07323	
3.78	2	0.39013	0.23653	-0.07349	
3.8	2.29	0.38828	0.23339	-0.07342	
3.82	1.97	0.3867	0.23212	-0.07345	
3.84	0.17	0.38583	0.22002	-0.07325	
3.86	2.29	0.38509	0.21725	-0.07301	
3.88	2	0.38444	0.21735	-0.07255	
3.9	2.29	0.38379	0.21949	-0.0725	
3.92	2	0.38342	0.22186	-0.07205	
3.94	2	0.38369	0.2225	-0.06499	
3.96	2.29	0.38415	0.22376	-0.06741	
3.98	2	0.38319	0.22643	-0.06748	
4	2	0.38265	0.22346	-0.06751	
4.02	2.29	0.38135	0.21901	-0.06737	
4.04	2	0.38023	0.21497	-0.06704	
4.06	2.29	0.38029	0.21263	-0.06693	
4.08	2	0.37947	0.21094	-0.06655	
4.1	2	0.37879	0.20954	-0.06603	
4.12	2.29	0.38001	0.21081	-0.06538	
4.14	2	0.3824	0.21524	-0.06447	
4.16	2	0.38385	0.21985	-0.0638	
4.18	2.29	0.38469	0.2253	-0.06307	
4.2	2	0.38558	0.2278	-0.06179	
4.22	2.29	0.38629	0.22831	-0.06115	
4.24	2	0.38659	0.22861	-0.06136	
4.26	2.29	0.38704	0.22856	-0.06132	
4.28	2	0.38759	0.2303	-0.06089	
4.3	2	0.38962	0.23212	-0.06	
4.32	2.29	0.39108	0.23386	-0.05922	
4.34	2	0.39182	0.23735	-0.05864	
4.36	2.29	0.39199	0.24047	-0.0584	
4.38	2	0.39183	0.24319	-0.05847	
4.4	2	0.3913	0.24258	-0.0582	
4.42	2.29	0.38989	0.24016	-0.05818	
4.44	2	0.38816	0.23694	-0.05881	
4.46	2.29	0.38701	0.23504	-0.06003	
4.48	2	0.38542	0.2275	-0.06074	
4.5	2.29	0.38356	0.22366	-0.0603	
4.52	2	0.38254	0.21993	-0.06003	
4.54	2	0.38234	0.21901	-0.05963	
4.56	2.29	0.38243	0.22089	-0.05885	
4.58	2	0.38306	0.22281	-0.05824	
4.6	2	0.38346	0.22394	-0.05778	
4.62	2.29	0.38356	0.22525	-0.05715	
4.64	2	0.38442	0.22541	-0.05658	
4.66	2.29	0.38575	0.22748	-0.05603	
4.68	2	0.38723	0.22963	-0.05527	
4.7	2	0.38785	0.23247	-0.05453	
4.72	2.29	0.38818	0.23291	-0.05378	
4.74	2	0.38781	0.23106	-0.05336	
4.76	2.29	0.38752	0.22947	-0.05332	
4.78	2	0.38714	0.22492	-0.05296	
4.8	2	0.38618	0.22169	-0.05258	
4.82	0.17	0.38535	0.21644	-0.05186	
4.84	2.29	0.38517	0.21658	-0.05131	
4.86	2	0.38491	0.21723	-0.05051	
4.88	2	0.38561	0.22457	-0.04915	
4.9	2.29	0.38881	0.2322	-0.04769	
4.92	2	0.39291	0.24369	-0.03601	
4.94	2	0.39686	0.25348	-0.0387	
4.96	2.29	0.39621	0.25903	-0.04168	
4.98	2	0.39384	0.25714	-0.04643	
5	2.29	0.39169	0.254	-0.05007	
5.02	2	0.38999	0.2512	-0.05069	
5.04	2	0.38878	0.24924	-0.05079	
5.06	2.29	0.38752	0.24519	-0.05074	
5.08	2	0.38657	0.24323	-0.05058	
5.1	2.29	0.38608	0.24069	-0.05083	
5.12	2	0.38517	0.23709	-0.05075	
5.14	2	0.38433	0.23244	-0.05034	
5.16	2	0.3842	0.23004	-0.05001	
5.18	2.29	0.38325	0.2291	-0.04925	
5.2	2	0.38259	0.22953	-0.04874	
5.22	2.29	0.38169	0.23036	-0.04817	
5.24	2	0.38108	0.23165	-0.04731	
5.26	2.29	0.38106	0.23286	-0.04661	
5.28	2	0.38036	0.23016	-0.04624	
5.3	2.29	0.37908	0.22653	-0.04649	
5.32	2	0.37826	0.22216	-0.04719	
5.34	2	0.37768	0.21884	-0.04741	
5.36	2.29	0.37694	0.21706	-0.04716	
5.38	2	0.37697	0.21629	-0.04617	
5.4	2.29	0.37711	0.21759	-0.04454	
5.42	2	0.37791	0.21978	-0.04282	
5.44	2.29	0.37887	0.22101	-0.04082	
5.46	2	0.37886	0.22284	-0.03932	
5.48	2	0.37961	0.22557	-0.03784	
5.5	2.29	0.38093	0.22843	-0.03686	
5.52	2	0.38211	0.22981	-0.03601	
5.54	2	0.38281	0.22943	-0.0354	
5.56	2.29	0.38309	0.22937	-0.03548	
5.58	2	0.38317	0.22943	-0.03632	
5.6	2	0.38277	0.22803	-0.03661	
5.62	2.29	0.38189	0.2269	-0.03638	
5.64	2	0.38157	0.226	-0.0359	
5.66	2.29	0.38193	0.22517	-0.03532	
5.68	2	0.38226	0.22497	-0.03439	
5.7	2	0.38266	0.22522	-0.03356	
5.72	2.29	0.38246	0.22576	-0.03301	
5.74	2	0.3817	0.22645	-0.03255	
5.76	2.29	0.38111	0.22647	-0.03218	
5.78	2	0.38065	0.22562	-0.03189	
5.8	0.21	0.38047	0.22059	-0.03174	
5.82	2	0.38043	0.21545	-0.03166	
5.84	2.29	0.38047	0.2151	-0.03164	
5.86	2	0.38029	0.21497	-0.03188	
5.88	2	0.37971	0.21495	-0.03206	
5.9	2.25	0.37964	0.21514	-0.02949	
5.92	2	0.37919	0.21471	-0.0341	
5.94	2	0.37856	0.21361	-0.03335	
5.96	2.29	0.37788	0.21195	-0.0327	
5.98	2	0.37775	0.21202	-0.03184	
6	2.29	0.37791	0.21332	-0.03092	
6.02	2	0.37865	0.21461	-0.02966	
6.04	2.29	0.37914	0.21461	-0.02866	
6.06	2	0.3815	0.2144	-0.02721	
6.08	2	0.38302	0.21412	-0.02647	
6.1	2	0.383	0.21444	-0.02696	
6.12	2.29	0.38092	0.21361	-0.02825	
6.14	2	0.37954	0.2135	-0.028	
6.16	2.29	0.37903	0.21184	-0.02701	
6.18	2	0.37783	0.21075	-0.02613	
6.2	2.29	0.378	0.21077	-0.02485	
6.22	2	0.37985	0.20862	-0.02307	
6.24	2	0.38229	0.20783	-0.0222	
6.26	2.29	0.38137	0.20891	-0.02284	
6.28	2	0.37967	0.20918	-0.02205	
6.3	2.29	0.37893	0.2107	-0.02101	
6.32	2	0.37866	0.21058	-0.01881	
6.34	2	0.37949	0.21049	-0.01696	
6.36	2.29	0.38024	0.21081	-0.01589	
6.38	2	0.38076	0.2099	-0.01448	
6.4	2.29	0.38088	0.20978	-0.0135	
6.42	2	0.38039	0.20991	-0.01281	
6.44	2.29	0.37954	0.20962	-0.01226	
6.46	2	0.37947	0.20885	-0.01143	
6.48	2	0.37904	0.2079	-0.01025	
6.5	2.29	0.37885	0.20742	-0.00963	
6.52	2	0.37788	0.20707	-0.00883	
6.54	2	0.37691	0.20696	-0.0078	
6.56	2.29	0.37604	0.20735	-0.00672	
6.58	2	0.37551	0.20919	-0.00522	
6.6	2.29	0.37527	0.2107	-0.0038	
6.62	2	0.37607	0.21192	-0.00262	
6.64	2	0.37756	0.21083	-0.00157	
6.66	2.29	0.38046	0.21225	-0.00086	
6.68	2	0.38886	0.21628	-0.00027	
6.7	2	0.39706	0.21821	-0.00364	
6.72	2.29	0.39801	0.22166	-0.01816	
6.74	2	0.39151	0.22185	-0.02004	
6.76	2.29	0.38889	0.21781	-0.0161	
6.78	0.2	0.39163	0.21751	-0.01394	
6.8	2.29	0.39116	0.21893	-0.01556	
6.82	2	0.38701	0.2221	-0.0171	
6.84	2	0.38257	0.22698	-0.01651	
6.86	2.29	0.38107	0.23114	-0.01389	
6.88	2	0.38527	0.22847	0.00179	
6.9	2	0.39023	0.22137	0.00206	
6.92	2.29	0.39734	0.21727	0.00094	
6.94	2	0.40941	0.22036	-0.00295	
6.96	2.29	0.4202	0.22269	-0.01363	
6.98	2	0.42534	0.21804	-0.03765	
7	2.29	0.41877	0.21252	-0.04349	
7.02	2	0.40901	0.21105	-0.06079	
7.04	2	0.39774	0.21517	-0.06863	
7.06	2.29	0.3893	0.21755	-0.06872	
7.08	2	0.38392	0.22309	-0.06586	
7.1	2	0.38288	0.2236	-0.06206	
7.12	2.25	0.38652	0.22533	-0.05791	
7.14	2	0.39171	0.22646	-0.05499	
7.16	2.29	0.39596	0.22116	-0.05303	
