Depth	Speed	Tip	Friction	Pressure	SBT
65.289	2.29	0.43578	0.35375	-0.10048	5
65.354	2	0.43276	0.34253	-0.10017	5
65.42	2	0.42984	0.32829	-0.09935	5
65.486	2.29	0.42788	0.32251	-0.09864	5
65.551	2	0.42829	0.32269	-0.09819	5
65.617	2.29	0.42895	0.32555	-0.09768	5
65.682	2	0.43097	0.32951	-0.09725	5
65.748	2	0.43085	0.33906	-0.09677	5
65.814	2	0.43223	0.3377	-0.09652	5
65.879	2.29	0.43337	0.34449	-0.09618	5
65.945	2	0.43533	0.36997	-0.09566	5
66.01	2	0.44101	0.37525	-0.09507	5
66.076	2.29	0.46863	0.38111	-0.09461	5
66.142	1.97	0.5063	0.38507	-0.09506	5
66.207	2.29	0.46371	0.38996	-0.10127	5
66.273	2	0.44416	0.39581	-0.12225	5
66.339	2.29	0.43812	0.37132	-0.12193	5
66.404	2	0.43381	0.34497	-0.12111	5
66.47	2.29	0.43031	0.33365	-0.12034	5
66.535	2	0.42778	0.32441	-0.11979	5
66.601	2	0.42482	0.3182	-0.1191	5
66.667	2.29	0.423	0.31294	-0.11855	5
66.732	2	0.42333	0.30969	-0.11797	5
66.798	2	0.42372	0.30573	-0.11766	5
66.864	2.29	0.4234	0.30323	-0.11714	5
66.929	2	0.42331	0.30353	-0.1166	5
66.995	2.29	0.42256	0.30397	-0.11635	5
67.06	2	0.4225	0.30227	-0.11597	5
67.126	2	0.42178	0.30019	-0.11555	5
67.192	2.29	0.42079	0.29926	-0.11541	5
67.257	2	0.41813	0.2997	-0.11501	5
67.323	2	0.41635	0.30325	-0.11477	5
67.388	2.29	0.41499	0.30651	-0.11464	5
67.454	2	0.41235	0.30724	-0.11429	5
67.52	2	0.41064	0.30683	-0.11372	5
67.585	2.29	0.40779	0.30293	-0.11288	5
67.651	2	0.40502	0.294	-0.11264	5
67.717	2.29	0.40244	0.28207	-0.11242	5
67.782	2	0.39986	0.26748	-0.11201	5
67.848	2	0.3979	0.25823	-0.11173	5
67.913	2.29	0.3966	0.25458	-0.11146	5
67.979	2	0.39527	0.25229	-0.11125	5
68.045	2	0.39435	0.25039	-0.11085	5
68.11	0.12	0.39381	0.23909	-0.11055	5
68.176	2.29	0.3938	0.23966	-0.11021	5
68.241	2	0.39382	0.24126	-0.10995	5
68.307	2.28	0.39311	0.2426	-0.10965	5
68.373	1.97	0.3922	0.24546	-0.10937	5
68.438	2	0.39349	0.24706	-0.10548	5
68.504	2.67	0.39609	0.24806	-0.10528	5
68.57	1.44	0.39772	0.25	-0.10478	5
68.635	2	0.39889	0.252	-0.10465	5
68.701	2.25	0.39872	0.25339	-0.10438	5
68.766	2	0.39763	0.25375	-0.10402	5
68.865	2.29	0.39715	0.25278	-0.10381	5
68.898	2	0.3963	0.24988	-0.10338	5
68.963	1.97	0.39586	0.24486	-0.10323	5
69.029	2.29	0.39555	0.24016	-0.10308	5
69.094	2	0.39472	0.23607	-0.10283	5
69.16	2	0.39382	0.23289	-0.10264	5
69.226	2.67	0.39306	0.23123	-0.10247	5
69.291	1.51	0.39189	0.22979	-0.10201	5
69.357	2	0.39146	0.23148	-0.10173	5
69.423	2.29	0.39097	0.23534	-0.10123	5
69.488	2	0.39225	0.24011	-0.10083	5
69.587	2.29	0.39324	0.24395	-0.10048	5
69.619	2	0.39487	0.24647	-0.09986	5
69.685	2	0.39651	0.24887	-0.09953	5
69.751	2.17	0.39754	0.25208	-0.09908	5
69.816	2	0.39917	0.25336	-0.09855	5
69.882	2.29	0.40009	0.25281	-0.09814	5
69.948	2	0.40133	0.25076	-0.09782	5
70.013	2.29	0.40009	0.2503	-0.09756	5
70.079	2	0.39868	0.25042	-0.09741	5
70.144	2.29	0.39845	0.24955	-0.09688	5
70.21	2	0.39875	0.24731	-0.09642	5
70.276	2	0.39955	0.24764	-0.09606	5
70.341	2	0.40088	0.25036	-0.09581	5
70.407	2.29	0.4023	0.25334	-0.09546	5
70.472	2	0.40202	0.2543	-0.0951	5
70.538	1.97	0.40056	0.25531	-0.09466	5
70.604	2.29	0.40049	0.25565	-0.09429	5
70.669	2	0.40052	0.25576	-0.09404	5
70.735	2.29	0.4003	0.25539	-0.09355	5
70.801	3.2	0.40012	0.25517	-0.09316	5
70.866	0.57	0.40053	0.25746	-0.09274	5
70.932	2	0.40082	0.25628	-0.09234	5
70.997	2.29	0.40172	0.25675	-0.09192	5
71.063	2	0.40279	0.25695	-0.09145	5
71.26	0.09	0.40357	0.25579	-0.09127	5
71.325	2	0.40338	0.25455	-0.08989	5
71.391	2	0.40297	0.25432	-0.08947	5
71.457	2.29	0.40243	0.25496	-0.08922	5
71.522	2	0.40192	0.25655	-0.08889	5
71.588	2	0.40227	0.25772	-0.08383	5
71.654	2.29	0.40225	0.25804	-0.08298	5
71.719	2	0.4034	0.2595	-0.08235	5
71.785	2	0.40394	0.26179	-0.08171	5
71.85	2.29	0.40441	0.26368	-0.08133	5
71.916	2	0.40459	0.26532	-0.08079	5
71.982	2	0.40486	0.26701	-0.08046	5
72.047	2.29	0.4058	0.26915	-0.08013	5
72.113	2	0.40646	0.27075	-0.07963	5
72.178	2	0.40701	0.26966	-0.07927	5
72.244	2.29	0.4074	0.27055	-0.07874	5
72.31	2	0.40852	0.27203	-0.07828	5
72.375	2	0.40935	0.2717	-0.0778	5
72.441	2.29	0.40968	0.27154	-0.07745	5
72.507	2	0.41005	0.27266	-0.07699	5
72.572	2.29	0.41002	0.27358	-0.07665	5
72.638	2	0.40918	0.27323	-0.07625	5
72.703	2	0.40799	0.27127	-0.07593	5
72.769	2.29	0.40756	0.27073	-0.07591	5
72.835	2	0.40666	0.26964	-0.07566	5
72.9	2.29	0.40551	0.26812	-0.07555	5
72.966	2	0.40496	0.26553	-0.07518	5
73.031	2	0.40456	0.26364	-0.07507	5
73.097	2.29	0.40328	0.26362	-0.07472	5
73.163	2	0.40289	0.26224	-0.0743	5
73.228	2.29	0.40212	0.26115	-0.07392	5
73.294	2	0.40188	0.26161	-0.07368	5
73.36	2	0.40151	0.26222	-0.07325	5
73.425	2.29	0.40076	0.2618	-0.07292	5
73.491	2	0.40011	0.26113	-0.07238	5
73.556	2	0.40008	0.25978	-0.07228	5
73.622	2	0.39977	0.25872	-0.07182	5
73.688	2.29	0.3996	0.25761	-0.07135	5
73.753	2	0.39912	0.25618	-0.07088	5
73.819	2	0.39888	0.25508	-0.07059	5
73.885	2.29	0.39892	0.25519	-0.07011	5
73.95	2	0.39918	0.25496	-0.06954	5
74.016	2.29	0.39958	0.25514	-0.06932	5
74.081	2	0.40035	0.25573	-0.06886	5
74.147	2	0.40077	0.25579	-0.06841	5
74.213	2.29	0.40072	0.25557	-0.0678	5
74.278	2	0.40107	0.25597	-0.0673	5
74.344	2	0.40142	0.25881	-0.06692	5
74.409	2.24	0.4024	0.25869	-0.06673	5
74.475	0.11	0.40336	0.26245	-0.06641	5
74.541	2	0.40394	0.2614	-0.06589	5
74.606	2.29	0.404	0.26047	-0.06566	5
74.672	2	0.40344	0.26127	-0.06522	5
74.738	2	0.4038	0.26119	-0.0646	5
74.803	2.29	0.40346	0.25971	-0.05987	5
74.869	2	0.40238	0.25841	-0.05842	5
74.934	0.2	0.40234	0.25727	-0.05806	5
75	2	0.40194	0.25627	-0.05782	5
75.066	2.29	0.40107	0.25614	-0.05745	5
75.131	2	0.40041	0.25595	-0.05703	5
75.197	2	0.39994	0.25577	-0.05664	5
75.262	2.29	0.40001	0.25561	-0.05289	5
75.328	2	0.40082	0.2552	-0.05186	5
75.394	2	0.40051	0.25523	-0.05165	5
75.459	2.29	0.39979	0.25577	-0.05121	5
75.525	2	0.39933	0.25722	-0.05067	5
75.591	2	0.39846	0.25981	-0.05001	5
75.656	2.29	0.39894	0.25665	-0.04944	5
75.722	2	0.40036	0.25759	-0.04889	5
75.787	2	0.40163	0.25749	-0.04813	5
75.853	2.29	0.41002	0.257	-0.0479	5
75.919	2	0.41327	0.26163	-0.0474	5
